rhoYe is density times electron fraction [g/cm^3], T is temperature [MeV], mu_e is electron chemical potential [MeV]
e-(+) cap is electron (positron) capture, e-(+) dec is electron (positron) decay
For each process, first column is neutrino production [neutrinos/baryon second] and second column is energy loss [MeV/baryon second].
rhoYe     T      mu_e    e- cap                   e+ dec                   e+ cap                   e- dec                   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   9.7706E-09  1.6850E-09   
1.00E+01  0.009  0.453   3.7796E-307 9.8264E-309  0.0000E+00  0.0000E+00   1.7952E-58  1.8870E-58   9.7742E-09  1.6859E-09   
1.00E+01  0.017  0.377   2.2516E-159 1.1760E-160  4.9811E-186 3.4906E-187  1.6345E-31  1.7333E-31   9.7745E-09  1.6859E-09   
1.00E+01  0.034  0.205   2.9276E-85  3.0859E-86   6.3716E-98  5.1947E-99   1.7972E-17  1.9428E-17   9.7747E-09  1.6860E-09   
1.00E+01  0.060  0.008   1.0639E-52  1.9893E-53   6.5192E-60  9.1422E-61   1.2404E-11  1.3878E-11   9.7741E-09  1.6859E-09   
1.00E+01  0.086  0.000   1.5481E-38  4.1933E-39   1.8887E-44  4.0643E-45   4.2073E-10  4.9062E-10   9.7627E-09  1.6839E-09   
1.00E+01  0.129  0.000   2.6961E-27  1.1238E-27   3.7035E-32  1.2168E-32   8.7046E-09  1.1021E-08   9.7671E-09  1.7681E-09   
1.00E+01  0.172  0.000   1.5314E-21  8.7461E-22   7.2540E-26  3.0645E-26   5.2634E-08  7.3182E-08   1.1344E-08  3.5839E-09   
1.00E+01  0.259  0.000   1.3957E-15  1.2602E-15   2.6066E-19  1.9733E-19   5.0378E-07  8.5583E-07   5.0711E-08  4.8882E-08   
1.00E+01  0.431  0.000   1.7458E-10  2.8601E-10   1.9745E-13  2.8719E-13   7.1203E-06  1.7598E-05   1.1539E-06  2.0396E-06   
1.00E+01  0.862  0.000   3.4518E-06  1.2797E-05   1.1513E-08  2.1609E-08   4.0663E-04  1.8629E-03   1.7399E-04  5.7908E-04   
1.00E+01  2.585  0.000   6.0488E-02  6.7600E-01   3.7332E-06  7.4516E-06   3.2535E-01  4.3867E+00   8.4789E-03  3.2326E-02   
1.00E+01  0.001  0.509   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   0.0000E+00  0.0000E+00   9.7706E-09  1.6850E-09   
